vip_22222,#genre#
红枣树, https://vd3.bdstatic.com/mda-pmeupiteps0itbb1/hd/cae_h264/1702672354089181222/mda-pmeupiteps0itbb1.mp4
苦乐年华, https://vd3.bdstatic.com//mda-sddhgqgdhig16ca2/540p/h264_crf/1776169354468631012/mda-sddhgqgdhig16ca2.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-07T02%3A29%3A54Z%2F-1%2Fhost%2F022b21bf6e4785a761b4d40057b5cac035c4663c1de9210a6ae1a8a9df101ea5&pd=20&vt=1
我在岁月长河中回头, https://vd4.bdstatic.com/mda-scw3fz37jvy8ne9b/hd/cae_h264/1774924316182680183/mda-scw3fz37jvy8ne9b.mp4?v_from_s=bdapp-resbox-zan-hna
半痴半傻半疯癫,https://vd4.bdstatic.com/mda-qeu28rpcjy69pnbg/hd/cae_h264/1716996491234747744/mda-qeu28rpcjy69pnbg.mp4
月亮里的阿妹, https://vd4.bdstatic.com/mda-qgn3ic6b9d990t5d/576p/h264/1721702015783580920/mda-qgn3ic6b9d990t5d.mp4
夜太长情太深, https://vd2.bdstatic.com/mda-rib8ya808jgk2enz/576p/h264/1757658118432892270/mda-rib8ya808jgk2enz.mp4
你是我的城堡, https://vd2.bdstatic.com/mda-qd929vahsmi4gti7/hd/cae_h264/1712713726436061265/mda-qd929vahsmi4gti7.mp4?v_from_s=bdapp-bdappcore-feed-hna
流泪的飞蛾, https://vd2.bdstatic.com/mda-scmdwdu8am3n622j/576p/h264/1774172920019164257/mda-scmdwdu8am3n622j.mp4
空落落的心儿为你碎, https://vd3.bdstatic.com/mda-sdmz7mav8tmbjc6j/hd/cae_h264/1776900663121846742/mda-sdmz7mav8tmbjc6j.mp4
把悲伤留给自己, https://vd2.bdstatic.com/mda-raq4ubij1s7dxzge/hd/cae_h264/1738314121340777168/mda-raq4ubij1s7dxzge.mp4
一直顺顺顺, https://vdse.bdstatic.com//4793bada3b45201e9d8d4716a8db4466.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-03T06%3A38%3A56Z%2F-1%2Fhost%2F9fc9a2dc9275dd903d41f1476b20e5d9770550ae87c3865cdcf5715cd703d01d
大花轿, https://vd2.bdstatic.com/mda-qadxbxijkmwsmxuv/576p/h264/1705270129265165750/mda-qadxbxijkmwsmxuv.mp4
想你的时候问月亮, https://vd4.bdstatic.com/mda-qat5wuvi0yjc8qkp/hd/cae_h264/1706506655973724288/mda-qat5wuvi0yjc8qkp.mp4
站着等你三千年, https://vd3.bdstatic.com/mda-qahzj87p0whn1n54/hd/cae_h264/1705731944781614170/mda-qahzj87p0whn1n54.mp4
情火, https://vd2.bdstatic.com/mda-qagupq2kbc7wq6w6/hd/cae_h264/1705631938990009554/mda-qagupq2kbc7wq6w6.mp4
红尘情歌, https://vd4.bdstatic.com/mda-qafqpdfnanern7di/hd/cae_h264/1705549385152362613/mda-qafqpdfnanern7di.mp4

你永远不懂我, https://vd3.bdstatic.com/mda-qa8ryjnnastagm8d/hd/cae_h264/1704888504208732976/mda-qa8ryjnnastagm8d.mp4?v_from_s=bdapp-bdappcore-feed-hnb

三生石下, https://vd2.bdstatic.com/mda-qe1dsw3ka7se2y0s/hd/cae_h264/1714689967772494968/mda-qe1dsw3ka7se2y0s.mp4?v_from_s=bdapp-bdappcore-feed-hnb

还没爱够, https://vd4.bdstatic.com/mda-qfmkt6c5v33u80az/576p/h264/1719067502800342300/mda-qfmkt6c5v33u80az.mp4


无言的结局, https://vd4.bdstatic.com/mda-pme74pgdx3rzh2z6/hd/cae_h264/1702633988061686908/mda-pme74pgdx3rzh2z6.mp4

－壶老酒, https://vd4.bdstatic.com/mda-ri2wx7x1kbri03rf/576p/h264/1756936357457475867/mda-ri2wx7x1kbri03rf.mp4

想你的夜, https://vd3.bdstatic.com//mda-rcbww9ya9kqqhcpa/576p/h264/1741816149520581903/mda-rcbww9ya9kqqhcpa.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-03T02%3A22%3A17Z%2F-1%2Fhost%2Fecf55126683d8951eeb1f99b28c213459d32f96d9fd478345f9ab032bb681a2a&pd=20&vt=1

永远你不懂我, https://vdse.bdstatic.com//1cd9aec9abbd4220da084a93ebf81660.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-02T15%3A26%3A36Z%2F-1%2Fhost%2F5df8d53a649f4ca23d8cb8602746c8933ff7d179c2f02f30ac7e5ca61adfdf52

下辈子不一定遇见, https://vd3.bdstatic.com//mda-re1djysm4e2hvu1s/576p/h264/1746178603440208780/mda-re1djysm4e2hvu1s.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-04-29T22%3A56%3A56Z%2F-1%2Fhost%2F803bd31f237f271c5a678b303b42579c0e3a49f9e41d303024993274ad1f482c&pd=20&vt=1

催伤情歌, https://vd2.bdstatic.com/mda-pf67mga6udfvzq9b/576p/h264/1686116552505262691/mda-pf67mga6udfvzq9b.mp4

十首情歌, https://vd4.bdstatic.com/mda-phjpu41a9xbx55nh/576p/h264/1692550219332238154/mda-phjpu41a9xbx55nh.mp4

美丽的遇见, https://vd2.bdstatic.com/mda-rmb750pqasg1weim/576p/h264/1765516033968881447/mda-rmb750pqasg1weim.mp4

陪我到老的人现在他还在吗, https://vd2.bdstatic.com/mda-rfegetqdyubn0nz9/hd/cae_h264/1749987568544466717/mda-rfegetqdyubn0nz9.mp4

心儿落下眼泪为了谁, https://vdse.bdstatic.com//16b020bea6f3bc75bbe869d7be276b8e.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-03T07%3A58%3A10Z%2F-1%2Fhost%2F3b1f3e45ab83369d0b9250c676dcfa66f623dd298f03650e950cc945811a42c0

一晃就老了, https://vd3.bdstatic.com//mda-rgvj7s75f3h7tnyu/540p/h264_crf/1753882484849360360/mda-rgvj7s75f3h7tnyu.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-01T17%3A37%3A16Z%2F-1%2Fhost%2F8cfb49e54de1501f44d0284c15e63b138d67234299eaba54641a5629f018511b&pd=20&vt=1

你是我的城堡, https://vd2.bdstatic.com/mda-rm2qrhx0ked5uvib/540p/h264_cae/1764782897363853055/mda-rm2qrhx0ked5uvib.mp4

伤心的雪花, https://vd4.bdstatic.com/mda-qb2hdkqx1cqeym0h/hd/cae_h264/1707052411583595291/mda-qb2hdkqx1cqeym0h.mp4

当我想你的时候, https://vd4.bdstatic.com/mda-qdiz4bmpujyyua2b/hd/cae_h264/1713695282433307497/mda-qdiz4bmpujyyua2b.mp4

你是我的城堡, https://vdse.bdstatic.com//52d48b8a148a92c5fa622f5abb6d5b54.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-01T17%3A56%3A46Z%2F-1%2Fhost%2F0030a4383dc6347a7957f0132e78d2990234ad9654cda17dba89148c38b1b18a

把悲伤留给自己, https://vd4.bdstatic.com/mda-piv5p3de0rew4qii/576p/h264/1696046561765041474/mda-piv5p3de0rew4qii.mp4

旧梦, https://vd2.bdstatic.com/mda-rcafwxs0bzqr5p59/hd/cae_h264/1741910576472675943/mda-rcafwxs0bzqr5p59.mp4

心落儿眼泪为了谁, https://vd4.bdstatic.com/mda-sdrdsa51yq8c5ix0/hd/cae_h264/1777196750434366144/mda-sdrdsa51yq8c5ix0.mp4?v_from_s=bdapp-bdappcore-feed-hna

一无所有, https://vdse.bdstatic.com//ff8ece1e30c502a500773b5d62234f5c.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-03T07%3A35%3A58Z%2F-1%2Fhost%2Fb5296033e5a06f983b22d8eed76108de18db3bf28947feb7b9ab5667cf8e7514

雪花别为我难过, https://vd3.bdstatic.com//mda-sa1zfk8zmidumnd7/540p/h264_cae/1767397029035424008/mda-sa1zfk8zmidumnd7.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2026-05-03T05%3A10%3A48Z%2F-1%2Fhost%2Fac1ba9b6713b54eb7e27af5554686af9969cf904ce718123c52b28811118b9c4&pd=20&vt=1

有一天, https://vd2.bdstatic.com/mda-qa0dc9tzujstcj6d/576p/h264/1704101312680241907/mda-qa0dc9tzujstcj6d.mp4?v_from_s=bdapp-resbox-zan-hna

流浪歌, https://vd3.bdstatic.com/mda-rjkc0qsxhxtid8t4/hd/cae_h264/1761039451711934589/mda-rjkc0qsxhxtid8t4.mp4

你是我的格桑花, https://vd3.bdstatic.com/mda-mjvcbqqxnx3p0wnb/360p/h264/1635584704507059063/mda-mjvcbqqxnx3p0wnb.mp4

